entryClass,numIfs,numVars,numFuncs,numCalls,numLoops,numArrayTypes,numCompositeTypes,numFundamentalTypes,numLines,SSASwitchInstruction,SSAArrayLengthInstruction,SSAArrayLoadInstruction,SSAPutInstruction,SSAComparisonInstruction,SSAConditionalBranchInstruction,SSANewInstruction,SSAReturnInstruction,SSAGetInstruction,SSAGotoInstruction,SSALoadMetadataInstruction,SSAInstanceofInstruction,SSAArrayStoreInstruction,SSACheckCastInstruction,SSAGetCaughtExceptionInstruction,SSABinaryOpInstruction,SSAPhiInstruction,SSAUnaryOpInstruction,SSAConversionInstruction,SSAPiInstruction,SSAMonitorInstruction,SSAInvokeInstruction,SSAThrowInstruction
jpf-regression/ExSymExe4_true,0,25,4,2,0,0,1,24,33,0,0,0,1,0,4,2,4,6,3,1,0,0,0,0,1,1,0,0,0,0,10,1
jpf-regression/ExSymExeGetStatic_true,0,4,1,2,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0
jpf-regression/ExSymExe14_true,1,27,4,3,0,0,1,26,38,0,0,0,2,0,5,2,5,7,2,1,0,0,0,0,2,1,0,0,0,0,11,1
jpf-regression/ExSymExe17_false,0,26,4,2,0,0,1,25,35,0,0,0,2,0,4,2,4,7,2,1,0,0,0,0,2,1,0,0,0,0,10,1
jpf-regression/ExSymExe16_false,0,25,4,2,0,0,1,24,34,0,0,0,2,0,4,2,4,7,2,1,0,0,0,0,1,1,0,0,0,0,10,1
jpf-regression/ExSymExe18_false,0,28,4,3,0,0,1,27,39,0,0,0,2,0,4,2,4,8,3,1,0,0,0,0,3,1,0,0,0,0,11,1
jpf-regression/ExDarko_false,0,18,6,9,0,0,3,15,49,0,21,6,0,0,1,5,0,0,0,1,2,0,1,0,0,0,0,0,1,0,4,8
jpf-regression/ExSymExeLCMP_false,0,19,4,3,0,0,1,18,28,0,0,0,1,1,3,2,4,3,2,1,0,0,0,0,2,1,0,0,0,0,8,1
jpf-regression/ExSymExeD2I_false,0,16,4,2,0,0,1,15,26,0,0,0,1,0,3,2,4,3,2,1,0,0,0,0,1,1,0,1,0,0,7,1
jpf-regression/ExSymExe12_false,0,27,4,3,0,0,1,26,38,0,0,0,2,0,4,2,4,8,3,1,0,0,0,0,2,1,0,0,0,0,11,1
jpf-regression/ExSymExe25_true,0,29,4,2,0,0,1,28,35,0,0,0,1,0,4,2,4,6,3,1,0,0,0,0,3,1,0,0,0,0,10,1
jpf-regression/ExSymExeArrays_false,0,16,4,2,0,1,1,14,30,0,0,1,2,0,3,3,4,5,2,1,0,1,0,0,0,1,0,0,0,0,7,1
jpf-regression/ExSymExeFNEG_false,0,19,4,3,0,0,1,18,29,0,0,0,1,1,3,2,4,4,2,1,0,0,0,0,0,1,1,0,0,0,9,1
jpf-regression/ExSymExeResearch_false,3,14,4,4,0,0,2,12,34,0,0,0,1,0,10,2,5,2,3,1,0,0,0,0,2,3,0,0,0,0,7,1
jpf-regression/ExSymExeTestClassFields_false,0,16,4,3,0,0,1,15,29,0,0,0,1,0,5,2,4,5,2,1,0,0,0,0,0,1,0,0,0,0,8,1
jpf-regression/ExSymExe6_false,0,24,4,4,0,0,1,23,37,0,0,0,1,0,4,2,4,6,3,1,0,0,0,0,3,1,0,0,0,0,12,1
jpf-regression/ExSymExeF2L_true,2,18,4,3,0,0,1,17,32,0,0,0,1,3,5,2,4,3,2,1,0,0,0,0,1,1,0,1,0,0,8,1
jpf-regression/ExDarko_true,1,17,6,8,0,0,3,14,49,0,20,7,0,0,1,6,0,0,0,1,1,0,1,0,0,0,0,0,1,0,4,8
jpf-regression/ExSymExeD2I_true,2,16,4,3,0,0,1,15,31,0,0,0,1,2,5,2,4,3,2,1,0,0,0,0,1,1,0,1,0,0,8,1
jpf-regression/ExSymExeTestAssignments_true,1,12,3,2,0,0,0,12,23,4,1,0,6,4,0,0,2,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0
jpf-regression/ExSymExe27_false,0,25,4,4,0,0,1,24,35,0,0,0,1,0,4,2,4,6,3,1,0,0,0,0,1,1,0,0,0,0,12,1
jpf-regression/ExException_true,1,14,5,4,0,0,0,14,29,0,0,3,4,0,0,5,0,0,0,3,2,0,0,1,0,3,0,1,0,9,0,1
jpf-regression/ExSymExe20_false,2,27,4,4,0,0,1,26,48,0,0,0,3,0,6,2,6,10,3,1,0,0,0,0,4,1,0,0,0,0,12,1
jpf-regression/ExSymExe29_false,0,24,4,4,0,0,1,23,36,0,0,0,1,0,4,2,4,6,3,1,0,0,0,0,2,1,0,0,0,0,12,1
jpf-regression/ExSymExe9_false,0,27,4,2,0,0,1,26,36,0,0,0,2,0,4,2,4,7,3,1,0,0,0,0,2,1,0,0,0,0,10,1
jpf-regression/ExSymExe_true,0,20,4,2,0,0,1,19,30,0,0,0,2,0,4,2,4,4,2,1,0,0,0,0,2,1,0,0,0,0,8,1
jpf-regression/ExSymExeI2D_false,1,18,4,3,0,0,1,17,30,0,0,0,1,1,4,2,5,3,2,1,0,0,0,0,1,1,0,1,0,0,8,1
jpf-regression/ExSymExe11_true,1,26,4,3,0,0,1,25,39,0,0,0,2,0,5,2,5,7,2,1,0,0,0,0,2,1,1,0,0,0,11,1
jpf-regression/ExSymExeSuzette_false,0,18,6,4,0,0,1,17,39,0,11,9,0,0,1,7,0,0,0,1,2,2,1,0,0,0,0,0,1,0,3,2
