O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O20,O21,UNK,TP,TN,FP,FN
0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,sc,0,0,--round-to-nearest,0,573,347,79,0,1
0,0,0,0,0,0,0,0,0,1,0,0,1,0,20,0,pso,0,0,--round-to-zero,--mathsat,596,340,30,33,1
0,0,0,0,0,0,0,0,1,1,0,100,1,0,100,lifo,pso,--arrays-uf-always,--reachability-slice,--round-to-nearest,--cprover-smt2,175,69,355,5,396
0,0,0,0,0,0,0,1,0,1,1,5000,20,0,100,fifo,tso,--arrays-uf-always,--reachability-slice,--round-to-minus-inf,--boolector,807,171,0,22,0
0,0,0,0,0,0,0,1,1,0,1,0,1,1000,10,lifo,tso,--arrays-uf-never,--reachability-slice-fb,--round-to-zero,--z3,838,132,0,30,0
0,0,0,0,0,0,0,1,1,0,1,5000,100,5000,10,lifo,pso,--arrays-uf-never,0,--round-to-plus-inf,--yices,852,125,0,23,0
0,0,0,0,0,0,1,0,0,0,1,0,10,5000,100,fifo,tso,0,--reachability-slice-fb,--round-to-plus-inf,--boolector,917,0,77,0,6
0,0,0,0,0,1,0,0,1,0,0,100,1,5000,10,0,pso,--arrays-uf-always,--reachability-slice-fb,--round-to-nearest,--cvc4,176,71,353,5,395
0,0,0,0,0,1,0,0,1,0,0,2000,10,5000,0,lifo,pso,--arrays-uf-never,--reachability-slice,--round-to-minus-inf,--z3,697,113,130,27,33
0,0,0,0,0,1,0,0,1,1,1,5000,10,100,0,0,tso,0,0,--round-to-nearest,--boolector,696,210,82,5,7
0,0,0,0,0,1,1,0,1,1,1,100,5,5000,0,0,pso,--arrays-uf-always,--reachability-slice-fb,--round-to-nearest,--z3,108,227,231,175,259
0,0,0,0,0,1,1,1,1,0,0,1000,1,2000,100,fifo,pso,0,--reachability-slice-fb,--round-to-minus-inf,--cvc4,782,160,0,58,0
0,0,0,0,0,1,1,1,1,1,0,0,100,1000,5,lifo,pso,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--yices,845,122,0,33,0
0,0,0,0,0,1,1,1,1,1,1,0,100,0,100,lifo,sc,0,--reachability-slice-fb,--round-to-zero,--cprover-smt2,830,136,0,34,0
0,0,0,0,1,0,0,1,0,0,1,5000,1,5000,100,fifo,pso,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--z3,777,174,0,49,0
0,0,0,0,1,0,1,0,0,1,1,1000,5,5000,0,lifo,sc,--arrays-uf-always,0,--round-to-zero,--cprover-smt2,752,174,17,52,5
0,0,0,0,1,0,1,1,0,1,0,100,20,2000,100,fifo,tso,0,0,--round-to-zero,--cvc4,760,182,0,58,0
0,0,0,0,1,1,0,0,1,0,0,1000,10,100,20,0,pso,0,0,--round-to-zero,--yices,649,211,94,18,28
0,0,0,0,1,1,1,0,0,0,1,100,5,2000,100,fifo,sc,0,--reachability-slice-fb,--round-to-minus-inf,--boolector,534,1,217,0,248
0,0,0,0,1,1,1,1,1,1,0,5000,20,2000,5,lifo,tso,0,--reachability-slice,--round-to-plus-inf,--boolector,829,127,0,44,0
0,0,0,1,0,0,0,0,1,0,1,100,20,0,0,fifo,pso,--arrays-uf-never,--reachability-slice-fb,--round-to-zero,--yices,47,66,441,8,438
0,0,0,1,0,0,1,0,1,0,0,0,100,5000,20,0,sc,--arrays-uf-never,--reachability-slice-fb,--round-to-minus-inf,--yices,634,212,104,35,15
0,0,0,1,0,0,1,1,1,1,1,100,1,0,20,lifo,tso,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--boolector,695,199,0,106,0
0,0,0,1,0,1,0,0,0,0,1,5000,100,100,10,0,sc,--arrays-uf-never,0,--round-to-plus-inf,--cvc4,891,58,38,0,13
0,0,0,1,0,1,0,0,0,1,0,100,5,100,20,fifo,sc,--arrays-uf-always,--reachability-slice-fb,--round-to-nearest,--mathsat,116,65,403,1,415
0,0,0,1,0,1,0,0,0,1,1,2000,20,1000,0,lifo,tso,0,--reachability-slice-fb,--round-to-nearest,0,633,152,168,8,39
0,0,0,1,0,1,1,1,1,1,1,1000,10,0,5,lifo,pso,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--boolector,837,121,0,42,0
0,0,0,1,1,0,0,0,0,0,1,1000,20,100,100,0,tso,0,--reachability-slice,--round-to-zero,--z3,432,338,187,2,41
0,0,0,1,1,0,0,1,0,0,0,0,5,2000,0,0,tso,--arrays-uf-always,--reachability-slice,--round-to-nearest,--cprover-smt2,1000,0,0,0,0
0,0,0,1,1,0,0,1,0,0,0,1000,10,0,20,lifo,tso,--arrays-uf-never,0,--round-to-zero,--boolector,1000,0,0,0,0
0,0,0,1,1,1,0,0,1,0,0,100,10,100,10,lifo,sc,--arrays-uf-never,--reachability-slice,--round-to-nearest,--boolector,93,66,422,1,418
0,0,0,1,1,1,1,0,0,0,1,2000,20,5000,0,0,tso,--arrays-uf-always,--reachability-slice,--round-to-zero,--cvc4,811,72,96,5,16
0,0,0,1,1,1,1,0,0,1,1,5000,5,100,5,lifo,sc,--arrays-uf-never,--reachability-slice-fb,--round-to-plus-inf,--mathsat,680,168,90,49,13
0,0,0,1,1,1,1,0,1,0,1,0,20,5000,10,fifo,pso,0,--reachability-slice-fb,--round-to-plus-inf,--mathsat,710,146,93,38,13
0,0,0,1,1,1,1,0,1,1,0,100,20,1000,0,lifo,pso,0,--reachability-slice-fb,--round-to-zero,--mathsat,167,188,268,92,285
0,0,0,1,1,1,1,1,1,1,1,100,100,2000,5,fifo,pso,--arrays-uf-always,--reachability-slice,--round-to-zero,--z3,768,179,0,53,0
0,0,1,0,0,0,0,0,0,1,0,0,1,5000,5,fifo,tso,0,0,--round-to-zero,--cprover-smt2,580,198,36,44,142
0,0,1,0,0,0,0,1,0,0,1,1000,100,5000,0,fifo,tso,--arrays-uf-never,--reachability-slice,--round-to-nearest,--mathsat,903,85,0,12,0
0,0,1,0,0,0,1,0,0,1,1,1000,1,5000,10,0,tso,--arrays-uf-never,0,--round-to-minus-inf,--boolector,316,429,11,240,4
0,0,1,0,0,0,1,0,0,1,1,5000,1,2000,5,lifo,tso,--arrays-uf-always,--reachability-slice-fb,--round-to-minus-inf,--cvc4,488,288,80,76,68
0,0,1,0,0,0,1,0,1,0,1,2000,20,0,20,lifo,tso,0,0,--round-to-nearest,--yices,677,198,23,38,64
0,0,1,0,0,0,1,0,1,1,1,0,10,1000,10,0,pso,--arrays-uf-always,--reachability-slice-fb,--round-to-minus-inf,--yices,627,226,87,52,8
0,0,1,0,0,0,1,1,0,0,1,1000,100,1000,10,fifo,tso,--arrays-uf-always,--reachability-slice,--round-to-minus-inf,--boolector,1000,0,0,0,0
0,0,1,0,0,1,0,0,1,0,1,1000,20,1000,100,0,pso,--arrays-uf-never,0,--round-to-nearest,--z3,615,233,87,42,23
0,0,1,0,0,1,0,1,0,0,1,5000,1,1000,0,fifo,sc,--arrays-uf-always,0,--round-to-plus-inf,--boolector,1000,0,0,0,0
0,0,1,0,0,1,0,1,1,1,0,100,100,2000,20,fifo,tso,--arrays-uf-never,--reachability-slice-fb,--round-to-zero,--cprover-smt2,899,78,0,23,0
0,0,1,0,0,1,1,1,1,0,0,2000,10,5000,0,lifo,sc,--arrays-uf-never,0,--round-to-zero,--yices,751,198,0,51,0
0,0,1,0,1,0,0,0,1,0,0,1000,10,1000,20,fifo,pso,--arrays-uf-never,0,--round-to-nearest,--cvc4,396,146,205,34,219
0,0,1,0,1,0,0,0,1,1,0,100,10,100,100,fifo,sc,--arrays-uf-never,--reachability-slice-fb,--round-to-plus-inf,--cprover-smt2,91,79,407,19,404
0,0,1,0,1,0,0,1,0,1,1,1000,10,2000,100,0,sc,0,0,--round-to-nearest,--yices,560,373,0,67,0
