label,task,result,cost,score,time,configCount,revisitCount,acceptCount,bestCount,saRunCount,searchAlg,tool,pca,thresh,seed,mode,improve
TP,jayhorn-recursive/Ackermann01,UNSAFE,-1,-1,3.220766544342040,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,2,base-classification,false
TP,jayhorn-recursive/Ackermann01,UNSAFE,-1,-1,3.2815349102020300,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,5,base-classification,false
TP,jayhorn-recursive/Ackermann01,UNSAFE,-1,-1,3.331848382949830,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,4,base-classification,false
TP,jayhorn-recursive/Ackermann01,UNSAFE,-1,-1,3.407566547393800,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,3,base-classification,false
TP,jayhorn-recursive/Ackermann01,UNSAFE,-1,-1,3.5499918460845900,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,1,base-classification,false
TP,jayhorn-recursive/Ackermann01,UNSAFE,-1,-1,5.349082708358770,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,2,base-classification,false
TP,jayhorn-recursive/Ackermann01,UNSAFE,-1,-1,5.453407287597660,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,1,base-classification,false
TP,jayhorn-recursive/Ackermann01,UNSAFE,-1,-1,5.456247568130490,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,4,base-classification,false
TP,jayhorn-recursive/Ackermann01,UNSAFE,-1,-1,5.497155427932740,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,5,base-classification,false
TP,jayhorn-recursive/Ackermann01,UNSAFE,-1,-1,5.54607367515564,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,3,base-classification,false
TN,jayhorn-recursive/Addition,SAFE,-1,-1,3.2632925510406500,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,1,base-classification,false
TN,jayhorn-recursive/Addition,SAFE,-1,-1,3.2705893516540500,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,5,base-classification,false
TN,jayhorn-recursive/Addition,SAFE,-1,-1,3.296365976333620,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,2,base-classification,false
TN,jayhorn-recursive/Addition,SAFE,-1,-1,3.336247682571410,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,3,base-classification,false
TN,jayhorn-recursive/Addition,SAFE,-1,-1,3.3960142135620100,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,4,base-classification,false
TN,jayhorn-recursive/Addition,SAFE,-1,-1,4.003144979476930,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,2,base-classification,false
