TN,TP,FN,FP,prog,complete,score,falseRate,--drop-unused-functions,--full-slice,--no-assumptions,--no-built-in-assertions,--no-pretty-names,--no-self-loops-to-assumptions,--nondet-static,--partial-loops,--refine,--refine-strings,--slice-formula,--depth,--unwind,--max-nondet-tree-depth,--min-null-tree-depth,--paths,--mm,arrays-uf,reachability-slice,round,solver
82,210,7,5,1000,304,70.0,3.94736842105,0,0,0,0,0,1,0,0,1,1,1,5000,10,100,0,0,tso,0,0,--round-to-nearest,--boolector
0,0,0,0,1000,0,0.0,0.0,1,1,0,1,1,0,0,1,0,0,1,2000,100,5000,20,0,pso,--arrays-uf-always,--reachability-slice,--round-to-nearest,--boolector
0,0,0,0,1000,0,0.0,0.0,0,0,0,1,1,0,0,1,0,0,0,0,5,2000,0,0,tso,--arrays-uf-always,--reachability-slice,--round-to-nearest,--cprover-smt2
0,0,0,0,1000,0,0.0,0.0,0,0,1,0,0,0,1,1,0,0,1,1000,100,1000,10,fifo,tso,--arrays-uf-always,--reachability-slice,--round-to-minus-inf,--boolector
0,0,0,0,1000,0,0.0,0.0,1,0,1,1,1,0,1,1,0,0,0,2000,100,0,5,fifo,tso,--arrays-uf-always,--reachability-slice,--round-to-nearest,--yices
0,0,0,0,1000,0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,1,5000,1,1000,0,fifo,sc,--arrays-uf-always,0,--round-to-plus-inf,--boolector
0,0,0,0,1000,0,0.0,0.0,0,1,0,0,1,0,1,1,0,0,0,0,100,5000,5,lifo,tso,--arrays-uf-always,--reachability-slice-fb,--round-to-plus-inf,--cprover-smt2
0,0,0,0,1000,0,0.0,0.0,0,1,0,0,1,1,0,1,0,0,0,100,100,100,20,0,tso,--arrays-uf-always,0,--round-to-zero,--yices
0,0,0,0,1000,0,0.0,0.0,0,1,0,0,1,1,1,1,0,0,1,2000,20,0,10,lifo,tso,--arrays-uf-never,0,--round-to-zero,--cprover-smt2
0,0,0,0,1000,0,0.0,0.0,1,1,1,0,1,0,1,1,0,0,0,100,5,1000,100,0,pso,--arrays-uf-always,0,--round-to-nearest,--yices
0,0,0,0,1000,0,0.0,0.0,1,0,1,1,1,0,0,1,0,0,0,5000,1,1000,20,fifo,sc,0,0,--round-to-nearest,--yices
0,0,0,0,1000,0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,2000,20,100,100,lifo,sc,--arrays-uf-always,--reachability-slice,--round-to-minus-inf,--yices
0,0,0,0,1000,0,0.0,0.0,1,1,0,1,0,1,1,1,0,0,0,1000,10,0,5,fifo,sc,--arrays-uf-never,0,--round-to-minus-inf,--yices
0,0,0,0,1000,0,0.0,0.0,0,0,0,1,1,0,0,1,0,0,0,1000,10,0,20,lifo,tso,--arrays-uf-never,0,--round-to-zero,--boolector
0,0,0,0,1000,0,0.0,0.0,1,1,0,1,0,0,0,1,0,0,0,5000,20,5000,0,lifo,pso,--arrays-uf-never,--reachability-slice-fb,--round-to-minus-inf,--boolector
0,0,0,0,1000,0,0.0,0.0,1,0,0,1,0,1,1,1,0,0,0,100,100,5000,100,fifo,tso,0,0,--round-to-nearest,--boolector
15,0,1,0,1000,16,-2.0,6.25,1,0,0,0,0,0,1,0,0,0,1,0,1,0,100,fifo,tso,0,0,--round-to-nearest,--yices
83,0,6,0,1000,89,-26.0,6.74157303371,0,0,1,1,0,1,1,0,0,0,0,2000,5,0,100,fifo,tso,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--yices
77,0,6,0,1000,83,-38.0,7.22891566265,0,0,0,0,0,0,1,0,0,0,1,0,10,5000,100,fifo,tso,0,--reachability-slice-fb,--round-to-plus-inf,--boolector
0,160,0,13,1000,173,-48.0,7.51445086705,1,0,0,1,1,0,0,1,0,1,1,0,100,100,100,lifo,tso,0,0,--round-to-plus-inf,--cvc4
85,0,7,0,1000,92,-54.0,7.60869565217,0,1,0,0,1,0,1,0,0,0,0,1000,1,100,0,fifo,tso,--arrays-uf-never,0,--round-to-nearest,--cprover-smt2
0,68,0,8,1000,76,-60.0,10.5263157895,1,0,0,1,1,1,0,1,1,1,1,100,10,100,0,fifo,tso,0,--reachability-slice,--round-to-plus-inf,--yices
85,0,8,0,1000,93,-86.0,8.60215053763,0,1,1,0,1,1,1,0,0,0,0,2000,5,5000,0,lifo,sc,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--cprover-smt2
0,73,0,10,1000,83,-87.0,12.0481927711,0,1,0,0,1,0,0,1,0,1,1,100,100,5000,100,lifo,pso,--arrays-uf-always,0,--round-to-plus-inf,--boolector
0,69,0,10,1000,79,-91.0,12.6582278481,1,0,0,1,0,0,0,1,1,0,1,100,5,0,5,fifo,tso,--arrays-uf-never,--reachability-slice,--round-to-nearest,--yices
0,3,0,6,1000,9,-93.0,66.6666666667,1,1,0,0,0,0,0,1,0,0,1,5000,100,100,100,fifo,pso,--arrays-uf-always,--reachability-slice,--round-to-nearest,--yices
0,67,0,10,1000,77,-93.0,12.987012987,1,0,0,1,1,0,1,1,0,0,1,1000,100,2000,10,lifo,pso,--arrays-uf-always,--reachability-slice,--round-to-zero,--mathsat
0,125,0,14,1000,139,-99.0,10.071942446,1,0,0,1,1,1,0,1,1,1,0,5000,20,0,10,fifo,sc,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--yices
0,85,0,12,1000,97,-107.0,12.3711340206,0,0,1,0,0,0,0,1,0,0,1,1000,100,5000,0,fifo,tso,--arrays-uf-never,--reachability-slice,--round-to-nearest,--mathsat
0,107,0,14,1000,121,-117.0,11.5702479339,1,0,1,0,1,0,1,1,0,0,1,2000,100,1000,10,fifo,sc,--arrays-uf-never,--reachability-slice,--round-to-nearest,--cvc4
30,340,1,33,1000,404,-160.0,8.41584158416,0,0,0,0,0,0,0,0,0,1,0,0,1,0,20,0,pso,0,0,--round-to-zero,--mathsat
91,0,11,0,1000,102,-170.0,10.7843137255,0,1,0,1,1,1,1,0,0,0,1,2000,10,2000,20,fifo,sc,--arrays-uf-always,--reachability-slice-fb,--round-to-minus-inf,--boolector
