TN,TP,FN,FP,config,complete,score,falseRate,numVars,numIfs,numLoops,numFuncs,numCalls,numFundTypes,numArrayTypes,numPointerTypes,numCompTypes,numThings,numLines,numLoads,numStores,numAddrSpaceCast,numAlloca,numAtomicCmpXchg,numAtomicRMW,numBitCast,numBranch,numCall,numCatchPad,numCatchReturn,numCatchSwitch,numCleanupPad,numCleanupReturn,numExtractElement,numExtractValue,numFCmp,numFence,numFPExt,numFPToSI,numFPToUI,numFPTrunc,numGetElementPtr,numICmp,numIndirectBr,numInsertElement,numInsertValue,numIntToPtr,numInvoke,numLandingPad,numLoad,numPHINode,numPtrToInt,numResume,numReturn,numSelect,numSExt,numShuffleVector,numSIToFP,numStore,numSwitch,numTrunc,numUIToFP,numUnreachable,numVAArg,numZExt,numDUMMY
142,0,0,0,295,142,284.0,0.0,2,1,0,2,5,2,0,0,0,13,16,1,2,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0
142,0,0,0,295,142,284.0,0.0,3,10,0,1,8,3,0,0,0,34,47,9,3,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
142,0,0,0,295,142,284.0,0.0,3,3,0,2,20,3,0,0,0,38,62,6,4,0,0,0,0,0,6,20,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,6,2,0,0,2,0,0,0,0,4,0,0,0,1,0,7,0
142,0,0,0,295,142,284.0,0.0,1,1,0,2,49,1,0,0,0,55,106,1,1,0,0,0,0,0,2,49,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,24,0
142,0,0,0,295,142,284.0,0.0,1,1,0,2,9,1,0,0,0,15,27,1,1,0,0,0,0,0,2,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,4,0
142,0,0,0,295,142,284.0,0.0,1,1,0,2,32,1,0,0,0,38,67,1,1,0,0,0,0,0,2,32,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,13,0
142,0,0,0,295,142,284.0,0.0,2,1,0,2,5,2,0,0,0,13,16,1,2,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0
142,0,0,0,295,142,284.0,0.0,3,7,0,2,36,3,0,0,0,57,98,5,4,0,0,0,0,0,10,36,0,0,0,0,0,0,0,7,0,0,0,0,0,0,13,0,0,0,0,0,0,5,2,0,0,2,0,0,0,0,4,0,0,0,1,0,15,0
141,0,0,0,295,141,282.0,0.0,1,0,0,1,1,1,0,0,0,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,265,0,0,295,265,265.0,0.0,4,2,1,1,3,4,0,0,0,23,34,7,6,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0
