TN,TP,FN,FP,prog,complete,score,falseRate,-rta,-specs,-bounded-heap-size,-heap-limit,-heap-mode,-initial-heap-size,-inline-count,-inline-size,-mem-prec,-solver,-step-heap-size,-solver-options
95,111,0,34,368,240,-243.0,14.1666666667,on,off,1000,1000,bounded,1,-1,-1,4,spacer,100,off
94,83,0,38,368,215,-337.0,17.6744186047,on,off,5000,100,unbounded,1000,1000,1000,3,spacer,1,off
102,0,1,0,368,103,172.0,0.970873786408,off,off,1000,-1,auto,1000,100,100,4,eldarica,1,abstract
100,0,0,0,368,100,200.0,0.0,on,on,1,-1,auto,1000,10,-1,3,eldarica,100,abstractPO
78,2,0,1,368,81,142.0,1.23456790123,off,on,100,1000,auto,100,1,10,4,eldarica,1000,abstractPO
38,0,1,0,368,39,44.0,2.5641025641,off,off,1,1,auto,100,10,1000,5,eldarica,5000,abstract
0,0,0,0,368,0,0.0,0.0,on,on,100,100,bounded,1000,-1,1000,5,eldarica,1000,debug
0,0,0,0,368,0,0.0,0.0,off,on,1,100,bounded,5000,1,1,4,eldarica,10,abstract
37,0,0,0,368,37,74.0,0.0,off,off,1000,1,auto,5000,-1,1000,4,eldarica,10,debug
95,84,0,37,368,216,-318.0,17.1296296296,off,on,10,10,unbounded,1,1000,1000,1,spacer,10,off
71,137,1,66,368,275,-809.0,24.3636363636,off,on,1000,10,bounded,5000,-1,1,1,spacer,100,off
96,0,0,0,368,96,192.0,0.0,on,on,5000,10,unbounded,5000,-1,100,2,eldarica,100,abstractPO
101,0,11,0,368,112,-150.0,9.82142857143,on,off,5000,-1,unbounded,1000,1000,1,1,eldarica,1000,debug
103,76,1,5,368,185,170.0,3.24324324324,on,off,100,1000,auto,1,10,1000,2,eldarica,1,abstract
37,0,1,0,368,38,42.0,2.63157894737,off,on,1000,1,unbounded,100,100,-1,1,eldarica,100,debug
101,0,0,0,368,101,202.0,0.0,off,off,10,-1,unbounded,5000,10,100,5,eldarica,1000,abstractPO
76,0,0,0,368,76,152.0,0.0,off,on,10,10,unbounded,100,1,-1,2,eldarica,10,debug
99,121,0,37,368,257,-273.0,14.3968871595,off,off,1000,-1,auto,10,100,1,2,spacer,1,off
