TN,TP,FN,FP,prog,complete,score,falseRate,numIfs,numVars,numFuncs,numCalls,numLoops,numArrayTypes,numCompositeTypes,numFundamentalTypes,numLines,SSASwitchInstruction,SSAArrayLengthInstruction,SSAArrayLoadInstruction,SSAPutInstruction,SSAComparisonInstruction,SSAConditionalBranchInstruction,SSANewInstruction,SSAReturnInstruction,SSAGetInstruction,SSAGotoInstruction,SSALoadMetadataInstruction,SSAInstanceofInstruction,SSAArrayStoreInstruction,SSACheckCastInstruction,SSAGetCaughtExceptionInstruction,SSABinaryOpInstruction,SSAPhiInstruction,SSAUnaryOpInstruction,SSAConversionInstruction,SSAPiInstruction,SSAMonitorInstruction,SSAInvokeInstruction,SSAThrowInstruction
112,0,0,8,256,120,96.0,6.66666666667,1,29,4,3,0,0,1,28,44,0,0,0,3,0,5,2,5,10,2,1,0,0,0,0,3,1,1,0,0,0,11,1
0,103,0,0,256,103,103.0,0.0,0,11,2,5,0,0,2,9,11,1,0,0,2,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
217,0,0,0,256,217,434.0,0.0,10,25,2,3,0,0,2,23,34,1,0,0,0,2,2,0,0,0,4,2,1,0,7,0,11,0,1,0,1,0,2,2
218,0,0,0,256,218,436.0,0.0,12,32,2,6,0,0,6,26,49,1,0,0,0,2,6,0,0,0,7,6,0,0,1,0,13,0,1,6,0,0,6,1
138,0,0,35,256,173,-284.0,20.2312138728,0,25,4,2,0,0,1,24,33,0,0,0,1,0,4,2,4,6,3,1,0,0,0,0,1,1,0,0,0,0,10,1
0,10,0,0,256,10,10.0,0.0,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
0,11,9,0,256,20,-277.0,45.0,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
0,10,0,0,256,10,10.0,0.0,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
0,66,0,0,256,66,66.0,0.0,5,38,2,10,0,2,3,33,40,0,0,0,1,0,6,5,2,3,1,1,0,8,0,0,0,1,0,0,0,0,11,2
0,11,0,0,256,11,11.0,0.0,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
0,10,0,0,256,10,10.0,0.0,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
0,10,4,0,256,14,-118.0,28.5714285714,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
0,11,0,0,256,11,11.0,0.0,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
0,11,0,0,256,11,11.0,0.0,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
0,11,1,0,256,12,-21.0,8.33333333333,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
139,0,0,35,256,174,-282.0,20.1149425287,0,19,4,2,0,0,1,18,27,0,0,0,1,0,3,2,4,4,2,1,0,0,0,0,1,1,0,0,0,0,8,1
0,0,0,66,256,66,-1056.0,100.0,4,22,2,6,0,0,2,20,23,1,0,0,0,2,2,0,0,0,7,2,0,0,1,0,5,0,1,0,0,0,2,1
0,24,0,0,256,24,24.0,0.0,2,14,2,4,0,0,1,13,16,1,0,0,0,2,1,0,0,0,5,1,0,0,1,0,3,0,1,0,0,0,1,1
0,0,0,0,256,0,0.0,NA,4,12,4,3,0,0,1,11,34,10,1,0,6,9,0,0,1,1,1,0,1,3,0,1,0,0,0,0,0,0,1,0
0,71,0,0,256,71,71.0,0.0,0,18,4,3,0,0,1,17,28,0,0,0,1,1,3,2,4,3,2,1,0,0,0,0,1,1,0,1,0,0,8,1
164,0,0,21,256,185,-8.0,11.3513513514,2,9,2,2,0,0,2,7,17,2,0,0,0,2,2,0,0,0,3,2,0,0,1,0,3,0,1,0,0,0,1,1
165,0,0,20,256,185,10.0,10.8108108108,1,14,2,5,0,0,2,12,14,1,0,1,2,0,3,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0
218,0,0,0,256,218,436.0,0.0,40,96,2,20,0,0,20,76,142,1,0,0,0,2,20,0,0,0,21,20,0,0,1,0,41,0,1,15,0,0,20,1
0,0,0,66,256,66,-1056.0,100.0,12,50,2,6,3,1,3,46,54,1,0,0,3,2,3,0,4,3,7,4,6,0,4,0,13,0,1,0,0,0,3,10
0,6,0,0,256,6,6.0,0.0,4,28,2,6,1,1,1,26,30,1,0,0,1,2,1,0,4,1,7,2,2,0,2,0,5,0,1,0,0,0,1,4
0,7,0,0,256,7,7.0,0.0,4,28,2,6,1,1,1,26,30,1,0,0,1,2,1,0,4,1,7,2,2,0,2,0,5,0,1,0,0,0,1,4
165,0,0,13,256,178,122.0,7.30337078652,2,18,4,3,0,0,1,17,32,0,0,0,1,3,5,2,4,3,2,1,0,0,0,0,1,1,0,1,0,0,8,1
216,0,0,0,256,216,432.0,0.0,3,8,2,2,0,0,1,7,17,1,0,0,0,4,1,0,0,0,3,1,0,0,1,0,4,0,1,0,0,0,1,1
0,0,0,57,256,57,-912.0,100.0,1,20,4,6,0,1,1,18,37,1,2,1,2,0,0,1,0,1,5,0,5,13,0,0,0,0,2,1,0,3,2,0
218,0,0,0,256,218,436.0,0.0,3,12,3,3,0,0,1,11,20,1,0,0,1,0,3,1,0,3,1,4,0,0,0,0,0,0,0,5,1,3,0,0
184,0,0,15,256,199,128.0,7.53768844221,4,12,2,2,0,0,2,10,22,2,0,0,0,2,4,0,0,0,3,2,0,0,1,0,5,0,1,0,0,0,2,1
168,0,0,0,256,168,336.0,0.0,11,18,6,6,0,0,1,17,73,23,1,1,1,0,0,15,0,21,0,1,0,0,3,0,0,0,5,0,1,1,1,0
0,0,0,66,256,66,-1056.0,100.0,2,11,2,3,0,0,1,10,15,3,1,1,1,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0
0,99,0,0,256,99,99.0,0.0,1,27,4,3,0,0,1,26,41,0,0,0,2,0,5,2,5,8,3,1,0,0,0,0,2,1,1,0,0,0,11,1
0,0,0,66,256,66,-1056.0,100.0,6,18,2,5,0,0,2,16,27,1,0,0,0,3,2,0,0,0,6,2,1,0,1,0,7,1,1,0,0,0,2,1
