TN,TP,FN,FP,prog,complete,score,falseRate,--disable-uncaught-exception-check,--drop-unused-functions,--full-slice,--java-assume-inputs-non-null,--java-threading,--java-unwind-enum-static,--localize-faults,--no-assumptions,--no-pretty-names,--no-refine-strings,--no-self-loops-to-assumptions,--nondet-static,--refine,--slice-formula,--string-non-empty,--string-printable,--symex-driven-lazy-loading,--depth,--unwind,--max-nondet-array-length,--max-nondet-string-length,--max-nondet-tree-depth,--java-max-vla-length,--paths,arrays-uf,reachability-slice,solvert
0,0,0,0,368,0,0.0,0.0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,5,0,10,0,0,fifo,--arrays-uf-always,--reachability-slice-fb,--cvc4
0,6,0,7,368,13,-106.0,53.8461538462,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,2000,10,100,10,0,10,lifo,--arrays-uf-always,--reachability-slice-fb,--yices
0,0,0,0,368,0,0.0,0.0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1000,100,10,10,1000,0,lifo,--arrays-uf-always,--reachability-slice-fb,0
0,0,0,0,368,0,0.0,0.0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,100,5,10,100,5000,10,lifo,--arrays-uf-always,--reachability-slice,--cvc4
0,0,0,0,368,0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,100,1,10,100,2000,10,lifo,--arrays-uf-never,--reachability-slice-fb,--mathsat
121,0,119,1,368,241,-3582.0,49.7925311203,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,5000,100,0,100,0,100,0,0,--reachability-slice,--yices
44,0,0,1,368,45,72.0,2.22222222222,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,5000,1,10,100,0,100,lifo,--arrays-uf-never,--reachability-slice,--mathsat
70,0,45,0,368,115,-1300.0,39.1304347826,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,100,20,100,10,1000,100,0,0,--reachability-slice,--z3
57,2,38,3,368,100,-1148.0,41.0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1000,20,10,0,5000,0,fifo,--arrays-uf-never,0,0
0,0,0,0,368,0,0.0,0.0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,10,100,1000,100,lifo,--arrays-uf-never,--reachability-slice-fb,--cvc4
0,0,0,0,368,0,0.0,0.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,2000,5,10,100,0,10,lifo,0,--reachability-slice-fb,0
112,134,0,20,368,266,38.0,7.51879699248,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,5000,100,10,100,100,0,0,--arrays-uf-never,--reachability-slice-fb,--z3
0,0,0,0,368,0,0.0,0.0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,5,10,100,0,10,fifo,--arrays-uf-never,0,--z3
72,147,2,28,368,249,-221.0,12.0481927711,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,10,10,0,100,100,lifo,0,--reachability-slice-fb,--yices
116,184,11,40,368,351,-576.0,14.5299145299,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,5000,1,0,10,0,10,0,0,--reachability-slice-fb,--cvc4
89,178,4,33,368,304,-300.0,12.1710526316,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1000,100,100,100,5000,10,0,--arrays-uf-always,0,--mathsat
19,0,7,0,368,26,-186.0,26.9230769231,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,10,0,0,5000,10,lifo,--arrays-uf-never,--reachability-slice,--boolector
162,2,202,2,368,368,-6170.0,55.4347826087,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,100,100,100,100,100,10,lifo,--arrays-uf-never,--reachability-slice,--yices
164,0,204,0,368,368,-6200.0,55.4347826087,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1000,1,10,0,100,10,0,--arrays-uf-always,--reachability-slice,--z3
0,0,0,0,368,0,0.0,0.0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,5000,20,10,0,5000,0,lifo,--arrays-uf-always,--reachability-slice,--mathsat
74,0,1,0,368,75,116.0,1.33333333333,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,5000,10,100,100,1000,100,lifo,0,--reachability-slice-fb,--boolector
164,0,204,0,368,368,-6200.0,55.4347826087,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1000,5,0,0,0,10,lifo,0,0,--mathsat
12,0,0,0,368,12,24.0,0.0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,5000,20,10,10,0,0,0,--arrays-uf-always,0,--z3
0,0,0,0,368,0,0.0,0.0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1000,1,0,100,0,10,fifo,--arrays-uf-always,--reachability-slice,0
0,0,0,0,368,0,0.0,0.0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,5000,5,0,10,1000,0,lifo,0,0,--z3
0,3,0,0,368,3,3.0,0.0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,100,10,0,0,2000,0,fifo,--arrays-uf-always,--reachability-slice-fb,--z3
0,0,0,0,368,0,0.0,0.0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,100,100,0,0,fifo,0,0,--boolector
0,0,0,0,368,0,0.0,0.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,5,100,10,100,100,lifo,--arrays-uf-never,0,--boolector
0,0,0,0,368,0,0.0,0.0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1000,20,0,100,0,0,0,0,0,0
112,148,4,24,368,288,-140.0,9.72222222222,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,20,0,0,1000,10,0,--arrays-uf-always,--reachability-slice-fb,0
111,131,0,21,368,263,17.0,7.98479087452,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,20,0,10,5000,10,0,0,--reachability-slice-fb,--z3
0,0,0,0,368,0,0.0,0.0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,100,100,0,0,2000,100,0,--arrays-uf-never,0,0
153,0,196,0,368,349,-5966.0,56.1604584527,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,100,10,1000,10,0,0,--reachability-slice,--mathsat
67,105,10,25,368,207,-481.0,16.9082125604,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1000,1,10,10,1000,10,0,--arrays-uf-never,--reachability-slice-fb,--z3
19,0,7,0,368,26,-186.0,26.9230769231,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,5000,1,100,100,5000,0,fifo,--arrays-uf-never,--reachability-slice,--z3
0,0,0,0,368,0,0.0,0.0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1000,5,100,0,5000,10,fifo,--arrays-uf-always,0,--z3
3,0,1,0,368,4,-26.0,25.0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,5000,20,10,100,2000,0,fifo,0,--reachability-slice,--boolector
0,0,0,0,368,0,0.0,0.0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,2000,100,0,10,100,0,fifo,--arrays-uf-always,0,--boolector
164,0,204,0,368,368,-6200.0,55.4347826087,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,2000,100,100,100,2000,0,fifo,0,0,--cvc4
164,0,204,0,368,368,-6200.0,55.4347826087,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,100,20,10,0,0,0,fifo,--arrays-uf-never,0,--cvc4
67,104,20,25,368,216,-802.0,20.8333333333,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,10,2000,100,0,--arrays-uf-never,--reachability-slice-fb,--z3
0,0,0,0,368,0,0.0,0.0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,100,1,100,0,5000,10,fifo,--arrays-uf-always,--reachability-slice-fb,0
161,0,202,0,368,363,-6142.0,55.6473829201,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,100,1,0,100,2000,0,fifo,--arrays-uf-never,--reachability-slice,--yices
68,0,0,1,368,69,120.0,1.44927536232,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,5000,10,10,100,5000,0,fifo,0,--reachability-slice-fb,--cvc4
9,4,1,1,368,15,-26.0,13.3333333333,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,5000,10,lifo,--arrays-uf-always,--reachability-slice-fb,--yices
61,3,65,4,368,133,-2019.0,51.8796992481,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,5000,100,10,100,1000,10,fifo,0,0,--boolector
115,0,104,0,368,219,-3098.0,47.4885844749,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,2000,20,100,0,2000,10,0,--arrays-uf-never,--reachability-slice,--yices
