on,off,off,on,on,on,off,on,off,off,off,on,fi,2,before-O2,off
off,off,off,on,on,on,on,on,on,off,off,off,fs,1,off,after-O3
on,off,off,off,off,off,off,on,off,off,on,on,inv,10,before-conservative,after-conservative
off,on,on,off,off,off,off,on,on,off,on,off,fi,2,off,after-conservative
off,on,off,on,off,on,off,on,off,on,off,off,fs,5,before-O2,after-O2
on,on,on,on,off,off,off,off,on,off,off,off,fi,2,before-conservative,off
on,on,on,off,off,on,off,off,off,off,on,off,inv,1,off,after-conservative
on,off,off,off,on,off,off,off,on,off,off,on,fs,10,before-O2,after-O3
off,off,off,on,on,off,on,off,off,on,off,off,fi,1,before-conservative,off
off,off,off,off,off,off,on,off,on,off,off,off,inv,5,off,off
on,on,on,on,off,off,on,off,on,on,off,on,fs,1,off,off
on,off,off,on,off,on,on,off,on,on,off,off,fi,10,before-conservative,after-O3
on,on,off,on,on,on,off,on,off,on,on,on,fi,5,off,off
on,on,on,on,off,on,on,off,on,off,off,off,fi,10,before-O3,off
off,off,on,on,off,on,off,on,off,on,off,off,fi,3,off,after-O2
off,off,off,off,on,on,on,on,on,off,off,off,inv,1,before-O2,off
on,off,on,off,on,off,off,off,on,off,off,on,inv,5,off,after-O2
off,off,off,off,on,off,off,on,off,off,off,on,fs,5,before-O3,off
off,on,on,on,off,off,on,on,on,off,on,on,fs,2,before-conservative,after-O3
off,on,off,off,on,off,off,off,on,off,on,on,fi,3,before-O2,after-O2
on,on,on,on,on,off,off,off,off,on,on,on,fi,1,before-O3,after-O3
off,off,off,off,on,on,off,off,on,off,on,off,inv,1,before-O3,off
off,off,on,on,off,on,on,off,on,on,on,on,inv,2,before-O3,off
on,on,on,on,on,off,off,on,off,on,on,off,fs,3,before-conservative,after-O3
off,on,on,on,on,on,on,on,on,on,on,on,fi,2,before-O3,after-conservative
on,off,on,off,off,off,off,off,on,off,off,on,fs,2,off,off
off,on,on,on,on,off,off,on,off,on,on,on,fi,1,off,after-O2
off,off,off,off,on,on,on,on,on,off,on,on,inv,3,before-O2,after-O3
on,off,on,on,on,on,on,off,off,on,off,on,inv,2,before-conservative,after-O2
on,off,off,off,off,on,off,off,off,off,on,off,fi,2,before-O3,after-O3
on,off,on,on,off,on,on,on,on,on,off,off,fs,5,off,after-O3
on,on,on,on,on,off,on,on,off,off,off,off,inv,5,before-O2,off
on,off,on,off,on,on,on,off,off,off,on,on,fs,10,before-O3,after-O2
off,on,off,off,off,off,off,off,off,off,off,off,fi,10,off,after-O2
on,off,on,off,on,off,on,off,off,off,off,off,fi,3,before-O3,off
off,off,off,off,on,off,off,on,on,off,off,off,inv,5,before-conservative,off
off,on,off,on,off,on,off,off,on,off,on,on,fs,3,before-O3,after-O2
off,off,on,on,off,on,on,on,on,on,on,on,fs,1,before-conservative,after-conservative
off,on,on,on,off,off,off,off,on,on,on,off,fi,5,before-O2,after-O3
off,off,on,on,on,on,on,off,on,on,on,on,inv,5,before-O3,after-O2
on,off,on,on,off,on,on,on,on,on,on,off,inv,10,before-O2,after-O2
on,on,off,off,off,off,on,on,on,off,off,on,inv,2,before-conservative,after-conservative
