TN,TP,FN,FP,prog,complete,score,falseRate,--explicit-symbolic,--libc=klee,--malloc-never-fails,--no-slice,--no-prepare,--no-kernel,--no-libc,--no-posix,--overflow-with-clang,--require-slicer,--undefined-are-pure,--undefined-retval-nosym,--pta,--repeat-slicing,optimize-before,optimize-after
70,132,31,1,670,234,-736.0,13.6752136752,off,off,off,off,on,off,off,on,off,off,off,on,fs,5,before-O3,off
70,76,91,0,670,237,-2696.0,38.3966244726,on,on,off,off,off,on,on,off,on,off,on,off,fs,5,before-conservative,after-conservative
68,136,31,0,670,235,-720.0,13.1914893617,off,off,off,off,off,on,on,on,off,off,on,on,fs,3,before-conservative,off
60,187,1,0,670,248,275.0,0.403225806452,on,off,off,on,off,on,on,on,off,on,off,off,inv,10,before-O3,after-conservative
54,127,31,1,670,213,-773.0,15.0234741784,off,on,off,off,off,off,off,off,off,off,off,off,fi,10,off,after-O2
42,123,10,0,670,175,-113.0,5.71428571429,off,on,on,on,off,off,off,off,on,on,on,off,fi,5,before-O2,after-O3
60,125,10,0,670,195,-75.0,5.12820512821,on,on,on,on,off,on,on,off,on,off,off,off,fi,10,before-O3,off
85,68,91,1,670,245,-2690.0,37.5510204082,on,off,off,off,on,off,off,off,on,off,off,on,fs,10,before-O2,after-O3
46,116,64,1,670,227,-1856.0,28.6343612335,off,off,off,off,on,on,on,on,on,off,off,off,inv,1,before-O2,off
70,136,31,1,670,238,-732.0,13.4453781513,off,on,on,off,on,off,on,on,off,off,off,on,fi,3,off,after-O3
71,79,91,1,670,242,-2707.0,38.0165289256,off,off,off,off,on,on,on,on,on,off,on,on,inv,3,before-O2,after-O3
60,187,1,0,670,248,275.0,0.403225806452,on,off,off,on,off,on,off,off,off,on,on,off,fi,5,before-O3,after-O3
58,123,10,0,670,191,-81.0,5.23560209424,off,off,on,on,off,on,on,off,on,on,on,on,inv,2,before-O3,off
73,188,1,0,670,262,302.0,0.381679389313,on,off,on,on,on,on,on,off,off,on,off,on,inv,2,before-conservative,after-O2
71,125,10,0,670,206,-53.0,4.85436893204,on,on,off,on,off,off,off,on,on,on,on,on,inv,3,off,off
60,177,4,0,670,241,169.0,1.65975103734,on,on,on,off,off,on,off,off,off,off,on,off,inv,1,off,after-conservative
42,185,1,0,670,228,237.0,0.438596491228,off,on,off,on,off,on,off,on,off,on,off,off,fs,5,before-O2,after-O2
74,110,64,0,670,248,-1790.0,25.8064516129,on,off,on,off,off,off,off,off,on,off,off,on,fs,2,off,off
60,187,1,0,670,248,275.0,0.403225806452,on,on,on,on,on,off,off,on,off,on,on,off,fs,3,before-conservative,after-O3
42,185,1,0,670,228,237.0,0.438596491228,off,off,on,on,off,on,off,on,off,on,off,off,fi,3,off,after-O2
84,127,31,1,670,243,-713.0,13.1687242798,on,off,on,off,on,on,on,off,off,off,on,on,fs,10,before-O3,after-O2
