TN,TP,FN,FP,prog,complete,score,falseRate,numVars,numIfs,numLoops,numFuncs,numCalls,numFundTypes,numArrayTypes,numPointerTypes,numCompTypes,numThings,numLines,numLoads,numStores,numAddrSpaceCast,numAlloca,numAtomicCmpXchg,numAtomicRMW,numBitCast,numBranch,numCall,numCatchPad,numCatchReturn,numCatchSwitch,numCleanupPad,numCleanupReturn,numExtractElement,numExtractValue,numFCmp,numFence,numFPExt,numFPToSI,numFPToUI,numFPTrunc,numGetElementPtr,numICmp,numIndirectBr,numInsertElement,numInsertValue,numIntToPtr,numInvoke,numLandingPad,numLoad,numPHINode,numPtrToInt,numResume,numReturn,numSelect,numSExt,numShuffleVector,numSIToFP,numStore,numSwitch,numTrunc,numUIToFP,numUnreachable,numVAArg,numZExt,numDUMMY
0,41,14,0,82,55,-407.0,25.4545454545,4,2,1,1,3,4,0,0,0,23,34,7,6,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0
0,0,0,0,82,0,0.0,NA,167,261796,1,83,144,167,0,0,0,669599,972374,261960,145449,0,0,0,0,0,302715,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261796,0,0,0,0,0,0,261960,0,0,0,83,0,0,0,0,145449,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,12,9,2,2,4,7,0,5,0,85,126,34,24,0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,34,1,0,0,2,0,7,0,0,24,0,0,0,0,0,0,0
82,0,0,0,82,82,164.0,0.0,1,0,0,1,1,1,0,0,0,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,82,0,0.0,NA,7,2284,1,3,64,7,0,0,0,5909,9865,2532,1019,0,0,0,0,0,2876,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2284,0,0,0,0,0,0,2532,0,0,0,3,0,0,0,0,1019,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,9,7,2,2,8,8,0,1,0,75,128,29,20,0,0,0,0,0,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,29,0,0,0,2,0,5,0,0,20,1,0,0,2,0,3,0
0,0,0,0,82,0,0.0,NA,13,15926,1,6,67,13,0,0,0,39893,58021,15936,7945,0,0,0,0,0,18068,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15926,0,0,0,0,0,0,15936,0,0,0,6,0,0,0,0,7945,0,0,0,60,0,0,0
40,0,0,0,82,40,80.0,0.0,20,9,2,4,6,8,0,12,0,117,165,46,32,0,0,0,0,0,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,46,0,0,0,4,0,10,0,0,32,0,1,0,0,0,0,0
82,0,0,0,82,82,164.0,0.0,10,10,4,1,8,3,0,7,0,113,177,51,33,0,0,0,0,4,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,0,0,0,0,0,0,51,2,0,0,1,0,0,0,0,33,0,0,0,2,0,0,0
0,41,41,0,82,82,-1271.0,50.0,3,2,1,1,2,3,0,0,0,16,23,4,4,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
0,0,0,0,82,0,0.0,NA,15,11883,1,7,68,15,0,0,0,32861,57905,14451,6437,0,0,0,0,0,14855,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11883,0,0,0,0,0,0,14451,0,0,0,7,0,0,0,0,6437,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,19,17630,1,9,70,19,0,0,0,44009,65435,17646,8635,0,0,0,0,0,21366,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17630,0,0,0,0,0,0,17646,0,0,0,9,0,0,0,0,8635,0,0,0,60,0,0,0
0,41,14,0,82,55,-407.0,25.4545454545,4,3,1,1,4,4,0,0,0,25,38,7,6,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0
0,0,0,0,82,0,0.0,NA,11,7,2,2,4,6,0,5,0,69,101,25,20,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,25,0,0,0,2,0,6,0,0,20,0,0,0,0,0,0,0
0,0,0,0,82,0,0.0,NA,153,293683,1,76,137,153,0,0,0,750391,1080808,293833,162509,0,0,0,0,0,330357,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293683,0,0,0,0,0,0,293833,0,0,0,76,0,0,0,0,162509,0,0,0,60,0,0,0
0,82,0,0,82,82,82.0,0.0,5,8,7,2,2,4,1,0,0,62,110,23,22,0,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,23,0,0,0,2,0,7,0,0,22,0,0,0,1,0,1,0
0,60,0,0,82,60,60.0,0.0,11,6659,1,5,66,11,0,0,0,17454,29177,7554,3159,0,0,0,0,0,8091,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6659,0,0,0,0,0,0,7554,0,0,0,5,0,0,0,0,3159,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,8,4,1,3,6,6,0,2,0,47,68,15,11,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,15,1,0,0,3,0,0,0,0,11,0,0,0,1,0,3,0
65,0,0,0,82,65,130.0,0.0,24,24,3,3,4,15,0,9,0,181,298,81,45,0,0,0,0,0,59,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,0,0,0,0,0,0,81,5,0,0,3,0,13,0,0,45,0,2,0,0,0,8,0
0,0,0,0,82,0,0.0,NA,7,2400,1,3,64,7,0,0,0,6503,11927,2989,1040,0,0,0,0,0,2990,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,2989,0,0,0,3,0,0,0,0,1040,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,119,140,1,41,359,114,2,3,0,2562,4041,974,929,0,0,0,0,0,343,359,0,0,0,0,0,0,0,0,0,0,0,10,0,42,251,0,0,0,0,0,0,974,1,0,0,41,0,26,0,0,929,19,26,22,1,0,814,0
0,56,26,0,82,82,-776.0,31.7073170732,15,6,4,3,4,11,1,3,0,84,125,32,24,0,0,0,0,0,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,32,0,0,0,3,0,5,0,0,24,0,0,0,0,0,1,0
0,0,0,0,82,0,0.0,NA,7,2400,1,3,64,7,0,0,0,6503,11927,2989,1040,0,0,0,0,0,2990,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,2989,0,0,0,3,0,0,0,0,1040,0,0,0,60,0,0,0
